#Data    ; Gap       ; Datasieving ; Buffer ; Performance
#Byte    ; Byte      ; on/off      ; MByte  ; MByte/s
2048     ; 0         ; 1           ; 1      ; 88          
2048     ; 0         ; 1           ; 1      ; 89          
2048     ; 0         ; 1           ; 1      ; 89          
2048     ; 0         ; 1           ; 1      ; 89          
2048     ; 0         ; 1           ; 1      ; 90          
2048     ; 32        ; 1           ; 1      ; 77          
2048     ; 32        ; 1           ; 1      ; 78          
2048     ; 32        ; 1           ; 1      ; 77          
2048     ; 32        ; 1           ; 1      ; 76          
2048     ; 32        ; 1           ; 1      ; 77          
2048     ; 64        ; 1           ; 1      ; 77          
2048     ; 64        ; 1           ; 1      ; 76          
2048     ; 64        ; 1           ; 1      ; 77          
2048     ; 64        ; 1           ; 1      ; 77          
2048     ; 64        ; 1           ; 1      ; 75          
2048     ; 128       ; 1           ; 1      ; 77          
2048     ; 128       ; 1           ; 1      ; 76          
2048     ; 128       ; 1           ; 1      ; 77          
2048     ; 128       ; 1           ; 1      ; 77          
2048     ; 128       ; 1           ; 1      ; 78          
2048     ; 256       ; 1           ; 1      ; 76          
2048     ; 256       ; 1           ; 1      ; 76          
2048     ; 256       ; 1           ; 1      ; 77          
2048     ; 256       ; 1           ; 1      ; 76          
2048     ; 256       ; 1           ; 1      ; 75          
2048     ; 512       ; 1           ; 1      ; 74          
2048     ; 512       ; 1           ; 1      ; 72          
2048     ; 512       ; 1           ; 1      ; 75          
2048     ; 512       ; 1           ; 1      ; 74          
2048     ; 512       ; 1           ; 1      ; 74          
2048     ; 1024      ; 1           ; 1      ; 68          
2048     ; 1024      ; 1           ; 1      ; 71          
2048     ; 1024      ; 1           ; 1      ; 71          
2048     ; 1024      ; 1           ; 1      ; 71          
2048     ; 1024      ; 1           ; 1      ; 71          
2048     ; 2048      ; 1           ; 1      ; 48          
2048     ; 2048      ; 1           ; 1      ; 49          
2048     ; 2048      ; 1           ; 1      ; 49          
2048     ; 2048      ; 1           ; 1      ; 49          
2048     ; 2048      ; 1           ; 1      ; 51          
2048     ; 4096      ; 1           ; 1      ; 33          
2048     ; 4096      ; 1           ; 1      ; 33          
2048     ; 4096      ; 1           ; 1      ; 33          
2048     ; 4096      ; 1           ; 1      ; 32          
2048     ; 4096      ; 1           ; 1      ; 32          
2048     ; 6144      ; 1           ; 1      ; 24          
2048     ; 6144      ; 1           ; 1      ; 24          
2048     ; 6144      ; 1           ; 1      ; 24          
2048     ; 6144      ; 1           ; 1      ; 24          
2048     ; 6144      ; 1           ; 1      ; 25          
2048     ; 8192      ; 1           ; 1      ; 19          
2048     ; 8192      ; 1           ; 1      ; 20          
2048     ; 8192      ; 1           ; 1      ; 20          
2048     ; 8192      ; 1           ; 1      ; 19          
2048     ; 8192      ; 1           ; 1      ; 20          
2048     ; 10240     ; 1           ; 1      ; 16          
2048     ; 10240     ; 1           ; 1      ; 16          
2048     ; 10240     ; 1           ; 1      ; 16          
2048     ; 10240     ; 1           ; 1      ; 16          
2048     ; 10240     ; 1           ; 1      ; 16          
2048     ; 12288     ; 1           ; 1      ; 14          
2048     ; 12288     ; 1           ; 1      ; 14          
2048     ; 12288     ; 1           ; 1      ; 13          
2048     ; 12288     ; 1           ; 1      ; 13          
2048     ; 12288     ; 1           ; 1      ; 14          
2048     ; 14336     ; 1           ; 1      ; 12          
2048     ; 14336     ; 1           ; 1      ; 12          
2048     ; 14336     ; 1           ; 1      ; 12          
2048     ; 14336     ; 1           ; 1      ; 12          
2048     ; 14336     ; 1           ; 1      ; 12          
2048     ; 16384     ; 1           ; 1      ; 10          
2048     ; 16384     ; 1           ; 1      ; 11          
2048     ; 16384     ; 1           ; 1      ; 10          
2048     ; 16384     ; 1           ; 1      ; 10          
2048     ; 16384     ; 1           ; 1      ; 10          
2048     ; 18432     ; 1           ; 1      ; 9           
2048     ; 18432     ; 1           ; 1      ; 10          
2048     ; 18432     ; 1           ; 1      ; 9           
2048     ; 18432     ; 1           ; 1      ; 9           
2048     ; 18432     ; 1           ; 1      ; 9           
2048     ; 20480     ; 1           ; 1      ; 9           
2048     ; 20480     ; 1           ; 1      ; 8           
2048     ; 20480     ; 1           ; 1      ; 8           
2048     ; 20480     ; 1           ; 1      ; 8           
2048     ; 20480     ; 1           ; 1      ; 8           
2048     ; 22528     ; 1           ; 1      ; 8           
2048     ; 22528     ; 1           ; 1      ; 8           
2048     ; 22528     ; 1           ; 1      ; 8           
2048     ; 22528     ; 1           ; 1      ; 8           
2048     ; 22528     ; 1           ; 1      ; 8           
2048     ; 0         ; 0           ; 1      ; 89          
2048     ; 0         ; 0           ; 1      ; 90          
2048     ; 0         ; 0           ; 1      ; 89          
2048     ; 0         ; 0           ; 1      ; 89          
2048     ; 0         ; 0           ; 1      ; 88          
20480    ; 0         ; 1           ; 1      ; 98          
20480    ; 0         ; 1           ; 1      ; 100         
20480    ; 0         ; 1           ; 1      ; 97          
20480    ; 0         ; 1           ; 1      ; 97          
20480    ; 0         ; 1           ; 1      ; 98          
20480    ; 320       ; 1           ; 1      ; 93          
20480    ; 320       ; 1           ; 1      ; 92          
20480    ; 320       ; 1           ; 1      ; 97          
20480    ; 320       ; 1           ; 1      ; 96          
20480    ; 320       ; 1           ; 1      ; 96          
20480    ; 640       ; 1           ; 1      ; 93          
20480    ; 640       ; 1           ; 1      ; 92          
20480    ; 640       ; 1           ; 1      ; 94          
20480    ; 640       ; 1           ; 1      ; 93          
20480    ; 640       ; 1           ; 1      ; 92          
20480    ; 1280      ; 1           ; 1      ; 92          
20480    ; 1280      ; 1           ; 1      ; 91          
20480    ; 1280      ; 1           ; 1      ; 91          
20480    ; 1280      ; 1           ; 1      ; 91          
20480    ; 1280      ; 1           ; 1      ; 91          
20480    ; 2560      ; 1           ; 1      ; 86          
20480    ; 2560      ; 1           ; 1      ; 84          
20480    ; 2560      ; 1           ; 1      ; 86          
20480    ; 2560      ; 1           ; 1      ; 85          
20480    ; 2560      ; 1           ; 1      ; 84          
20480    ; 5120      ; 1           ; 1      ; 76          
20480    ; 5120      ; 1           ; 1      ; 77          
20480    ; 5120      ; 1           ; 1      ; 78          
20480    ; 5120      ; 1           ; 1      ; 76          
20480    ; 5120      ; 1           ; 1      ; 75          
20480    ; 102400    ; 1           ; 1      ; 12          
20480    ; 102400    ; 1           ; 1      ; 12          
20480    ; 102400    ; 1           ; 1      ; 11          
20480    ; 102400    ; 1           ; 1      ; 11          
20480    ; 102400    ; 1           ; 1      ; 12          
20480    ; 122880    ; 1           ; 1      ; 10          
20480    ; 122880    ; 1           ; 1      ; 10          
